key_id,Title,Relevance Score,Reasoning,Methods,Technologies,Automated Manufacturing Level,Negatives Found,Include/Exclude,Your Notes,EID,Year
2025_a_hierarchical_multi-agent_reinforcement_learning_framework_to_optimizing_distributed_flexible_manufacturing_systems_with_integrated_assembly_and_logistics,A Hierarchical Multi-agent Reinforcement Learning Framework to Optimizing Distributed Flexible Manufacturing Systems with Integrated Assembly and Logistics,++,Core tech (4) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,"deep q-network, model-based, multi-agent reinforcement learning, optimization, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105012244353,2025
2025_energy-efficient_distributed_heterogeneous_hybrid_flow-shop_scheduling_using_graph_neural_network_and_deep_reinforcement_learning,Energy-efficient Distributed Heterogeneous Hybrid Flow-shop Scheduling Using Graph Neural Network and Deep Reinforcement Learning,++,Core tech (7) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"graph neural network, optimization, ppo, reinforcement learning","deep learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105011748001,2025
2025_pathfinder:_deep_reinforcement_learning-based_scheduling_for_multi-robot_systems_in_smart_factories_with_mass_customization,Pathfinder: Deep Reinforcement Learning-Based Scheduling for Multi-Robot Systems in Smart Factories with Mass Customization,++,Core tech (12) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,reinforcement learning,"reinforcement learning, robot",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105011141340,2025
2025_evolutionary_strategies_with_dual_graph_reinforcement_learning_for_flexible_job_shop_scheduling_problem,Evolutionary Strategies with Dual Graph Reinforcement Learning for Flexible Job Shop Scheduling Problem,++,Core tech (7) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"gnn, graph neural network, optimization, policy gradient, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105010382943,2025
2025_implementing_hybrid_tsetlin_machine_and_q-learning_for_solving_the_job_shop_scheduling,Implementing Hybrid Tsetlin Machine and Q-Learning for Solving the Job Shop Scheduling,++,Core tech (3) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"optimization, pattern recognition, q-learning, reinforcement learning","deep learning, machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105009761455,2025
2025_permutation-invariant_and_equivariant_multiagent_reinforcement_learning_for_flexible_manufacturing_in_industrial_iot,Permutation-Invariant and Equivariant Multiagent Reinforcement Learning for Flexible Manufacturing in Industrial IoT,++,Core tech (12) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"graph neural network, marl, multi-agent reinforcement learning, multiagent reinforcement learning","iiot, industrial iot, internet of things, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105009627901,2025
2025_cloud_job_scheduling_using_deadline-based_task_optimisation_algorithm_in_internet_of_things,Cloud Job Scheduling Using Deadline-Based Task Optimisation Algorithm in Internet of Things,++,Core tech (11) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,optimization,"data-driven, internet of things, iot",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105008651710,2025
2025_multi-objective_scheduling_for_green_flexible_assembly_job-shop_system_via_multi-agent_deep_reinforcement_learning_with_game_theory,Multi-Objective Scheduling for Green Flexible Assembly Job-Shop System via Multi-Agent Deep Reinforcement Learning With Game Theory,++,Core tech (3) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"convolutional neural network, markov decision process, mdp, optimization, policy gradient, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105007624939,2025
2025_solving_flexible_job-shop_problem_considering_skilled_workers_via_multi-domain_graph_attention_network,Solving flexible job-shop problem considering skilled workers via multi-domain graph attention network,++,Core tech (2) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"markov decision process, reinforcement learning",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105007531816,2025
2025_exploring_the_potential_of_llm-based_chatbots_for_task_scheduling_in_robot_operations,Exploring the Potential of LLM-based Chatbots for Task Scheduling in Robot Operations,++,Core tech (6) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,"model-based, optimization","artificial intelligence, autonomous mobile robot, robot",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105005711635,2025
2025_a_machine_learning_approach_for_engineer-to-order_firms_to_predict_supplier_performance_in_critical_supply_chains,A machine learning approach for engineer-to-order firms to predict supplier performance in critical supply chains,++,Core tech (3) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"boosting, logistic regression, random forest, support vector machine",machine learning,Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105003878939,2025
2025_energy-aware_dynamic_rescheduling_of_flexible_manufacturing_system_using_edge-cloud_collaborative_decision-making_method,Energy-aware dynamic rescheduling of flexible manufacturing system using edge-cloud collaborative decision-making method,++,Core tech (2) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"deep q network, dqn, model based, reinforcement learning",reinforcement learning,Factory,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105001861125,2025
2025_agent-based_communication_for_fault_diagnosis_in_skill-based_production_environments_using_messages_based_on_i4.0_language_and_asset_administration_shells,Agent-Based Communication for Fault Diagnosis in Skill-Based Production Environments Using Messages Based on I4.0 Language and Asset Administration Shells,++,Core tech (5) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,,"cpps, cyber-physical production systems, fault detection",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-105001238902,2025
2025_hybrid_mts/mto_production_scheduling_with_cloud_orders:_a_mathematical_model_based_on_an_empirical_study,Hybrid MTS/MTO production scheduling with cloud orders: a mathematical model based on an empirical study,++,Core tech (2) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"model based, optimization",predictive maintenance,Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-105000964179,2025
2025_explainable_reinforcement_learning_in_job-shop_scheduling:_a_systematic_literature_review,Explainable reinforcement learning in job-shop scheduling: A systematic literature review,++,Core tech (11) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,reinforcement learning,reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105000272460,2025
2025_reinforcement_learning_in_dynamic_job_shop_scheduling:_a_comprehensive_review_of_ai-driven_approaches_in_modern_manufacturing,Reinforcement learning in dynamic job shop scheduling: a comprehensive review of AI-driven approaches in modern manufacturing,++,Core tech (8) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"optimization, reinforcement learning","artificial intelligence, machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105000018295,2025
2025_explainable_reinforcement_learning_in_job-shop_scheduling:_a_systematic_literature_review,Explainable reinforcement learning in job-shop scheduling: A systematic literature review,++,Core tech (11) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,reinforcement learning,reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105000009913,2025
2024_flexible_symbiosis_for_simulation_optimization_in_production_scheduling:_a_design_strategy_for_adaptive_decision_support_in_industry_5.0,Flexible Symbiosis for Simulation Optimization in Production Scheduling: A Design Strategy for Adaptive Decision Support in Industry 5.0,+,Industry 4.0 digitalization (6) + tech (1),"genetic algorithm, optimization, simulation",digital twin,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85213223406,2024
2024_balancing_heterogeneous_assembly_line_with_multi-skilled_human-robot_collaboration_via_adaptive_cooperative_co-evolutionary_algorithm,Balancing heterogeneous assembly line with multi-skilled human-robot collaboration via Adaptive cooperative co-evolutionary algorithm,++,Core tech (12) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,"evolutionary algorithm, metaheuristic, q-learning, reinforcement learning","cobots, hrc, human-robot collaboration, reinforcement learning, robot",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85208484988,2024
2024_enhancing_internal_supply_chain_management_in_manufacturing_through_a_simulation-based_digital_twin_platform,Enhancing internal supply chain management in manufacturing through a simulation-based digital twin platform,++,Core tech (5) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"optimization, simulation","analytics, digital twin",Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-85207065956,2024
2024_transitioning_trends_into_action:_a_simulation-based_digital_twin_architecture_for_enhanced_strategic_and_operational_decision-making,Transitioning trends into action: A simulation-based Digital Twin architecture for enhanced strategic and operational decision-making,++,Core tech (5) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,simulation,"artificial intelligence, digital twin, robotics",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85206816729,2024
2024_learning-enabled_flexible_job-shop_scheduling_for_scalable_smart_manufacturing,Learning-enabled flexible job-shop scheduling for scalable smart manufacturing,++,Core tech (5) + manufacturing (8) + strong decision or scheduling/simulation/robotics signal,reinforcement learning,"agvs, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85205666227,2024
2024_practical_algorithms_for_weakly_flexible_job_scheduling_for_smart_mold_component_process,Practical algorithms for weakly flexible job scheduling for smart mold component process,+,Industry 4.0 digitalization (2) + tech (1),genetic algorithm,artificial intelligence,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85195286528,2024
2024_a_deep_reinforcement_learning_based_approach_for_dynamic_job_shop_scheduling_considering_variable_processing_time,A deep reinforcement learning based approach for dynamic job shop scheduling considering variable processing time,++,Core tech (6) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,"genetic algorithm, markov decision process, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85212587515,2024
2024_a_machine_learning-based_simulation_metamodeling_method_for_dynamic_scheduling_in_smart_manufacturing_systems,A machine learning-based simulation metamodeling method for dynamic scheduling in smart manufacturing systems,++,Core tech (4) + manufacturing (12) + strong decision or scheduling/simulation/robotics signal,"boosting, simulation","digital twin, machine learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85201920306,2024
2024_two-stage_double_deep_q-network_algorithm_considering_external_non-dominant_set_for_multi-objective_dynamic_flexible_job_shop_scheduling_problems,Two-stage double deep Q-network algorithm considering external non-dominant set for multi-objective dynamic flexible job shop scheduling problems,++,Core tech (6) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"deep q-network, optimization, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85198718989,2024
2024_optimizing_industrial_maintenance_scheduling_through_deep_reinforcement_learning_and_simulation_integration,Optimizing Industrial Maintenance Scheduling Through Deep Reinforcement Learning and Simulation Integration,++,Core tech (4) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"reinforcement learning, simulation",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85217063856,2024
2024_a_recurrent_reinforcement_learning_strategy_for_optimal_scheduling_of_partially_observable_job-shop_and_flow-shop_batch_chemical_plants_under_uncertainty,A recurrent reinforcement learning strategy for optimal scheduling of partially observable job-shop and flow-shop batch chemical plants under uncertainty,++,Core tech (4) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"q-learning, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85195371951,2024
2024_machine_learning_prediction_model_for_dynamic_scheduling_of_hybrid_flow-shop_based_on_metaheuristic,Machine Learning prediction model for Dynamic Scheduling of Hybrid Flow-Shop based on Metaheuristic,++,Core tech (2) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"genetic algorithm, metaheuristic, optimization",machine learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85208058917,2024
2024_rainbow_versus_deep_q-network:_a_reinforcement_learning_comparison_on_the_flexible_job-shop_problem,Rainbow Versus Deep Q-Network: A Reinforcement Learning Comparison on the Flexible Job-Shop Problem,++,Core tech (6) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"deep q-network, dqn, optimization, reinforcement learning",reinforcement learning,Factory,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-85208041486,2024
"2024_""smart""_lead_time_prediction_in_smes_environments:_a_theoretical_framework_proposal","""smart"" Lead Time Prediction in SMEs environments: A theoretical framework proposal",++,Core tech (2) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,forecasting,analytics,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85208023240,2024
2024_solving_flexible_job-shop_scheduling_problem_with_heterogeneous_graph_neural_network_based_on_relation_and_deep_reinforcement_learning,Solving Flexible Job-Shop Scheduling Problem with Heterogeneous Graph Neural Network Based on Relation and Deep Reinforcement Learning,++,Core tech (5) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,"attention mechanism, feature extraction, graph neural network, optimization, ppo, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85202642909,2024
2024_designing_digital_twin_with_iot_and_ai_in_warehouse_to_support_optimization_and_safety_in_engineer-to-order_manufacturing_process_for_prefabricated_building_products,Designing Digital Twin with IoT and AI in Warehouse to Support Optimization and Safety in Engineer-to-Order Manufacturing Process for Prefabricated Building Products,++,Core tech (15) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,optimization,"artificial intelligence, digital twin, internet of things, iot",Unclassified,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-85200899331,2024
2024_the_use_of_reinforcement_learning_for_material_flow_control:_an_assessment_by_simulation,The use of reinforcement learning for material flow control: An assessment by simulation,++,Core tech (5) + manufacturing (8) + strong decision or scheduling/simulation/robotics signal,"reinforcement learning, simulation",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85196277178,2024
2024_smart_scheduling_of_dynamic_job_shop_based_on_discrete_event_simulation_and_deep_reinforcement_learning,Smart scheduling of dynamic job shop based on discrete event simulation and deep reinforcement learning,++,Core tech (6) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"optimization, ppo, reinforcement learning, simulation","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85162916963,2024
2024_fast_pareto_set_approximation_for_multi-objective_flexible_job_shop_scheduling_via_parallel_preference-conditioned_graph_reinforcement_learning,Fast Pareto set approximation for multi-objective flexible job shop scheduling via parallel preference-conditioned graph reinforcement learning,++,Core tech (7) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"evolutionary algorithm, graph neural network, reinforcement learning","deep learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85194182765,2024
2024_a_double_deep_q-network_framework_for_a_flexible_job_shop_scheduling_problem_with_dynamic_job_arrivals_and_urgent_job_insertions,A Double Deep Q-Network framework for a flexible job shop scheduling problem with dynamic job arrivals and urgent job insertions,++,Core tech (3) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,"deep q-network, optimization, q-learning, reinforcement learning, simulation","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85191255375,2024
2024_introducing_petrirl:_an_innovative_framework_for_jssp_resolution_integrating_petri_nets_and_event-based_reinforcement_learning,Introducing PetriRL: An innovative framework for JSSP resolution integrating Petri nets and event-based reinforcement learning,++,Core tech (5) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"optimization, ppo, reinforcement learning, simulation","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85192253912,2024
2024_unleashing_mixed-reality_capability_in_deep_reinforcement_learning-based_robot_motion_generation_towards_safe_human–robot_collaboration,Unleashing mixed-reality capability in Deep Reinforcement Learning-based robot motion generation towards safe human–robot collaboration,++,Core tech (19) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"reinforcement learning, simulation","deep learning, human-robot collaboration, reinforcement learning, robot",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85190069993,2024
2024_a_subgraph-based_hierarchical_q-learning_approach_to_optimal_resource_scheduling_for_complex_industrial_networks,A Subgraph-Based Hierarchical Q-Learning Approach to Optimal Resource Scheduling for Complex Industrial Networks,++,Core tech (2) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"q-learning, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85178025982,2024
2024_multi-agent_reinforcement_learning_for_job_shop_scheduling_in_dynamic_environments,Multi-Agent Reinforcement Learning for Job Shop Scheduling in Dynamic Environments,++,Core tech (7) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"graph neural network, multi-agent reinforcement learning, optimization, reinforcement learning","machine learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85191462117,2024
2024_long-sighted_dispatching_rules_for_manufacturing_scheduling_problem_in_industry_4.0_hybrid_approach,Long-sighted dispatching rules for manufacturing scheduling problem in Industry 4.0 hybrid approach,+,Industry 4.0 digitalization (5) + tech (1),,machine learning,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85186537548,2024
2024_an_end-to-end_deep_reinforcement_learning_method_based_on_graph_neural_network_for_distributed_job-shop_scheduling_problem,An end-to-end deep reinforcement learning method based on graph neural network for distributed job-shop scheduling problem,++,Core tech (8) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"feature extraction, gnn, graph neural network, markov decision process, mdp, optimization, ppo, reinforcement learning","deep learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85173449143,2024
2024_job_shop_smart_manufacturing_scheduling_by_deep_reinforcement_learning,Job shop smart manufacturing scheduling by deep reinforcement learning,++,Core tech (8) + manufacturing (16) + strong decision or scheduling/simulation/robotics signal,"markov decision process, mdp, ppo, reinforcement learning","deep learning, digital twin, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85185201017,2024
2024_flexible_job_shop_scheduling_via_dual_attention_network-based_reinforcement_learning,Flexible Job Shop Scheduling via Dual Attention Network-Based Reinforcement Learning,++,Core tech (6) + manufacturing (5) + strong decision or scheduling/simulation/robotics signal,"attention mechanism, feature extraction, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85171754780,2024
2024_manufacturing_task_data_chain-driven_production_logistics_trajectory_analysis_and_optimization_decision_making_method,Manufacturing task data chain-driven production logistics trajectory analysis and optimization decision making method,++,Core tech (2) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,optimization,data driven,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85169697723,2024
2024_data-driven_simulation-based_decision_support_system_for_resource_allocation_in_industry_4.0_and_smart_manufacturing,Data-driven simulation-based decision support system for resource allocation in industry 4.0 and smart manufacturing,++,Core tech (5) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,"optimization, simulation","artificial intelligence, data-driven",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85183766753,2024
2024_artificial_intelligence-based_method_for_forecasting_flowtime_in_job_shops,Artificial intelligence-based method for forecasting flowtime in job shops,++,Core tech (3) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,forecasting,artificial intelligence,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85125414044,2024
2024_unified_drl_for_enhanced_flexible_job-shop_scheduling_with_transportation_constraints,Unified DRL for Enhanced Flexible Job-Shop Scheduling with Transportation Constraints,++,Core tech (6) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,"optimization, ppo, reinforcement learning","agv, agvs, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-86000759203,2024
2024_production-logistics_collaborative_scheduling_in_dynamic_flexible_job_shops_via_multi-objective_deep_reinforcement_learning,Production-Logistics Collaborative Scheduling in Dynamic Flexible Job Shops via Multi-Objective Deep Reinforcement Learning,++,Core tech (4) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,reinforcement learning,reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85217867109,2024
2024_a_rule_and_network_dual-driven_dynamic_scheduling_approach_for_complex_flexible_manufacturing_job_shop,A Rule and Network Dual-Driven Dynamic Scheduling Approach for Complex Flexible Manufacturing Job Shop,++,Core tech (2) + manufacturing (14) + strong decision or scheduling/simulation/robotics signal,,neural network,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85217079892,2024
2024_deriving_adequate_insights_in_hmlv_manufacturing,Deriving adequate insights in HMLV manufacturing,++,Core tech (2) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,,"data driven, data-driven",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85214996112,2024
2024_deriving_adequate_insights_in_hmlv_manufacturing,Deriving adequate insights in HMLV manufacturing,++,Core tech (2) + manufacturing (10) + strong decision or scheduling/simulation/robotics signal,,"data driven, data-driven",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85213042559,2024
2024_research_on_the_application_of_evolutionary_algorithms_enhanced_by_deep_learning_in_intelligent_manufacturing_scheduling,Research on the Application of Evolutionary Algorithms Enhanced by Deep Learning in Intelligent Manufacturing Scheduling,++,Core tech (8) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"actor-critic, genetic algorithm, metaheuristic, reinforcement learning","deep learning, machine learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85212669745,2024
2024_investigation_of_non-value-added_activities_to_reduce_lead_time_in_the_mass-customized_glass_process_industry,INVESTIGATION OF NON-VALUE-ADDED ACTIVITIES TO REDUCE LEAD TIME IN THE MASS-CUSTOMIZED GLASS PROCESS INDUSTRY,++,Core tech (2) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"optimization, reinforcement learning, tabu search",reinforcement learning,Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85207622931,2024
2024_digital_twin-based_multi-granularity_synchronisation_for_production-warehousing_under_batch_processing_mode,Digital twin-based multi-granularity synchronisation for production-warehousing under batch processing mode,++,Core tech (3) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,,digital twin,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85205532226,2024
2024_deep_reinforcement_learning_based_on_graph_neural_network_for_flexible_job_shop_scheduling_problem_with_lot_streaming,Deep Reinforcement Learning Based on Graph Neural Network for Flexible Job Shop Scheduling Problem with Lot Streaming,++,Core tech (9) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,"gnn, graph neural network, optimization, ppo, reinforcement learning","deep learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85201093517,2024
2024_a_multi-action_reinforcement_learning_framework_via_pointer_graph_neural_network_for_flexible_job-shop_scheduling_problems_with_resource_transfer,A Multi-action Reinforcement Learning Framework via Pointer Graph Neural Network for Flexible Job-Shop Scheduling Problems with Resource Transfer,++,Core tech (6) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"graph neural network, optimization, ppo, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85201087367,2024
2024_energy_estimation_and_production_scheduling_in_job_shop_using_machine_learning,Energy Estimation and Production Scheduling in Job Shop Using Machine Learning,++,Core tech (4) + manufacturing (14) + strong decision or scheduling/simulation/robotics signal,genetic algorithm,"machine learning, neural network",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85199018521,2024
2024_reducing_lead_times_in_manufacturing_with_real-time_data_visualizations,Reducing Lead Times in Manufacturing with Real-Time Data Visualizations,++,Core tech (3) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,,analytics,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85195270622,2024
2024_deep_reinforcement_learning_for_dynamic_flexible_job-shop_scheduling_with_automated_guided_vehicles,Deep Reinforcement Learning for Dynamic Flexible Job-Shop Scheduling with Automated Guided Vehicles,++,Core tech (7) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"deep q network, markov decision process, mdp, reinforcement learning","agv, agvs, deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85193245130,2024
2024_rtmn_2.0—an_extension_of_robot_task_modeling_and_notation_(rtmn)_focused_on_human–robot_collaboration,RTMN 2.0—An Extension of Robot Task Modeling and Notation (RTMN) Focused on Human–Robot Collaboration,++,Core tech (17) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,,"hrc, robot",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85192441999,2024
2024_expert-guided_deep_reinforcement_learning_for_flexible_job_shop_scheduling_problem,Expert-Guided Deep Reinforcement Learning for Flexible Job Shop Scheduling Problem,++,Core tech (11) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,"gnn, graph neural network, reinforcement learning","deep learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85192182500,2024
2024_leveraging_auto-generative_simulation_for_decision_support_in_engineer-to-order_manufacturing,Leveraging Auto-generative Simulation for Decision Support in Engineer-to-Order Manufacturing,+,Industry 4.0 digitalization (7) + tech (1),simulation,artificial intelligence,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85189825303,2024
2024_challenges_of_industrial_wastewater_treatment:_utilizing_membrane_bioreactors_(mbrs)_in_conjunction_with_artificial_intelligence_(ai)_technology,Challenges of industrial wastewater treatment: utilizing Membrane bioreactors (MBRs) in conjunction with artificial intelligence (AI) technology,++,Core tech (6) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,genetic algorithm,"artificial intelligence, neural network",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85188448870,2024
2024_decision_support_tools_for_product_customisation:_an_in-depth_review,Decision support tools for product customisation: an in-depth review,++,Core tech (2) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,,machine learning,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85185409365,2024
2024_learning_to_schedule_dynamic_distributed_reconfigurable_workshops_using_expected_deep_q-network,Learning to schedule dynamic distributed reconfigurable workshops using expected deep Q-network,++,Core tech (5) + manufacturing (6) + strong decision or scheduling/simulation/robotics signal,"deep q-network, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85180008744,2024
2024_deep_reinforcement_learning_with_a_look-ahead_search_for_robotic_cell_scheduling,Deep Reinforcement Learning With a Look-Ahead Search for Robotic Cell Scheduling,++,Core tech (9) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,reinforcement learning,"deep learning, reinforcement learning, robot",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-85174810744,2024
2024_a_digital_twin-based_decision_support_system_for_dynamic_labor_planning,A Digital Twin-Based Decision Support System for Dynamic Labor Planning,++,Core tech (6) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,simulation,"artificial intelligence, digital twin",Factory,Managerial/business/policy focus,,ex. reason for inclusion/exclusion,2-s2.0-85174636636,2024
2024_power_consumption_and_process_cost_prediction_of_customized_products_using_explainable_ai:_a_case_in_the_steel_industry,Power Consumption and Process Cost Prediction of Customized Products Using Explainable AI: A Case in the Steel Industry,++,Core tech (9) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"forecasting, random forest","artificial intelligence, data driven, data-driven, machine learning",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85172726580,2024
2024_designing_distributed_decision-making_authorities_for_smart_factories–understanding_the_role_of_manufacturing_network_architecture,Designing distributed decision-making authorities for smart factories–understanding the role of manufacturing network architecture,++,Core tech (2) + manufacturing (14) + strong decision or scheduling/simulation/robotics signal,simulation,cps,Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-85161543574,2024
